##############
# Main walls #
##############
# Main wall side 0:
# Column 0:
H:0.11.6  ; L:14.10  ; A:14.10  ; M:0.10.6  
H:0.11.7  ; L:14.30  ; A:14.30  ; M:0.10.7  
H:0.11.8  ; L:15.10  ; A:15.10  ; M:0.10.8  
H:0.11.9  ; L:15.30  ; A:15.30  ; M:0.10.9  
H:0.11.10 ; L:16.10  ; A:16.10  ; M:0.10.10 
H:0.11.11 ; L:16.30  ; A:16.30  ; M:0.10.11 
H:0.11.12 ; L:17.10  ; A:17.10  ; M:0.10.12 
# Column 11:
H:0.12.0  ; L:11.11  ; A:11.11  ; M:0.11.0  
H:0.12.1  ; L:11.31  ; A:11.31  ; M:0.11.1  
H:0.12.2  ; L:12.11  ; A:12.11  ; M:0.11.2  
H:0.12.3  ; L:12.31  ; A:12.31  ; M:0.11.3  
H:0.12.4  ; L:13.11  ; A:13.11  ; M:0.11.4  
H:0.12.5  ; L:13.31  ; A:13.31  ; M:0.11.5  
H:0.12.6  ; L:14.11  ; A:14.11  ; M:0.11.6  
H:0.12.7  ; L:14.31  ; A:14.31  ; M:0.11.7  
H:0.12.8  ; L:15.11  ; A:15.11  ; M:0.11.8  
H:0.12.9  ; L:15.31  ; A:15.31  ; M:0.11.9  
H:0.12.10 ; L:16.11  ; A:16.11  ; M:0.11.10 
H:0.12.11 ; L:16.31  ; A:16.31  ; M:0.11.11 
H:0.12.12 ; L:17.11  ; A:17.11  ; M:0.11.12 
# Column 12:
H:0.13.0  ; L:11.12  ; A:11.12  ; M:0.12.0  
H:0.13.1  ; L:11.32  ; A:11.32  ; M:0.12.1  
H:0.13.2  ; L:12.12  ; A:12.12  ; M:0.12.2  
H:0.13.3  ; L:12.32  ; A:12.32  ; M:0.12.3  
H:0.13.4  ; L:13.12  ; A:13.12  ; M:0.12.4  
H:0.13.5  ; L:13.32  ; A:13.32  ; M:0.12.5  
H:0.13.6  ; L:14.12  ; A:14.12  ; M:0.12.6  
H:0.13.7  ; L:14.32  ; A:14.32  ; M:0.12.7  
H:0.13.8  ; L:15.12  ; A:15.12  ; M:0.12.8  
H:0.13.9  ; L:15.32  ; A:15.32  ; M:0.12.9  
H:0.13.10 ; L:16.12  ; A:16.12  ; M:0.12.10 
H:0.13.11 ; L:16.32  ; A:16.32  ; M:0.12.11 
H:0.13.12 ; L:17.12  ; A:17.12  ; M:0.12.12 
# Column 13:
H:0.14.0  ; L:11.13  ; A:11.13  ; M:0.13.0  
H:0.14.1  ; L:11.33  ; A:11.33  ; M:0.13.1  
H:0.14.2  ; L:12.13  ; A:12.13  ; M:0.13.2  
H:0.14.3  ; L:12.33  ; A:12.33  ; M:0.13.3  
H:0.14.4  ; L:13.13  ; A:13.13  ; M:0.13.4  
H:0.14.5  ; L:13.33  ; A:13.33  ; M:0.13.5  
H:0.14.6  ; L:14.13  ; A:14.13  ; M:0.13.6  
H:0.14.7  ; L:14.33  ; A:14.33  ; M:0.13.7  
H:0.14.8  ; L:15.13  ; A:15.13  ; M:0.13.8  
H:0.14.9  ; L:15.33  ; A:15.33  ; M:0.13.9  
H:0.14.10 ; L:16.13  ; A:16.13  ; M:0.13.10 
H:0.14.11 ; L:16.33  ; A:16.33  ; M:0.13.11 
H:0.14.12 ; L:17.13  ; A:17.13  ; M:0.13.12 
# Column 14:
H:0.15.0  ; L:11.14  ; A:11.14  ; M:0.14.0  
