# Table extracted from DocDB 4796-v1
# Author : Ramon Salazar
# Date   : 2019-01-07

S:6.12 ; X:1.0.1.14
S:6.13 ; X:1.0.0.13
S:6.14 ; X:1.0.1.13
S:6.15 ; M:1.0.11
S:6.16 ; M:1.1.11
S:6.17 ; M:1.2.11
S:6.18 ; M:1.3.11
S:6.19 ; M:1.4.11
S:6.20 ; M:1.5.11
S:6.21 ; M:1.6.11
S:6.22 ; M:1.7.11
S:6.23 ; M:1.8.11
S:6.24 ; M:1.9.11
S:6.25 ; X:1.0.0.12
S:6.26 ; X:1.0.1.12
S:6.27 ; M:1.0.10
S:6.28 ; M:1.1.10
S:6.29 ; M:1.2.10
S:6.30 ; M:1.3.10
S:6.31 ; M:1.4.10
S:6.32 ; M:1.5.10
S:6.33 ; M:1.6.10
S:6.34 ; M:1.7.10
S:6.35 ; M:1.8.10
S:6.36 ; M:1.9.10
S:6.37 ; X:1.0.0.11
S:6.38 ; X:1.0.1.11
S:6.39 ; M:1.0.9
S:6.40 ; M:1.1.9
S:6.41 ; M:1.2.9
S:6.42 ; M:1.3.9
S:6.43 ; M:1.4.9
S:6.44 ; M:1.5.9
S:6.45 ; M:1.6.9
S:6.46 ; M:1.7.9
S:6.47 ; M:1.8.9
S:6.48 ; M:1.9.9
S:6.49 ; X:1.0.0.10
S:6.50 ; X:1.0.1.10
S:6.51 ; M:1.0.8
S:6.52 ; M:1.1.8
S:6.53 ; M:1.2.8
S:6.54 ; M:1.3.8
S:6.55 ; M:1.4.8
S:6.56 ; M:1.5.8
S:6.57 ; M:1.6.8
S:6.58 ; M:1.7.8
S:6.59 ; M:1.8.8
S:6.60 ; M:1.9.8
# Sp:6.61 ; Spare
# Sp:6.62 ; Spare
# Sp:6.63 ; Spare
# Sp:6.64 ; Spare

S:7.1 ; G:1.1.8
S:7.2 ; G:1.1.9
S:7.3 ; G:1.1.10
S:7.4 ; G:1.1.11
S:7.5 ; G:1.1.12
S:7.6 ; G:1.1.13
S:7.7 ; G:1.1.14
S:7.8 ; G:1.1.15
S:7.9 ; X:1.1.1.15
S:7.10 ; X:1.1.0.15
S:7.11 ; X:1.1.1.14
S:7.12 ; X:1.1.0.14
S:7.13 ; M:1.10.11
S:7.14 ; M:1.11.11
S:7.15 ; M:1.12.11
S:7.16 ; M:1.13.11
S:7.17 ; M:1.14.11
S:7.18 ; M:1.15.11
S:7.19 ; M:1.16.11
S:7.20 ; M:1.17.11
S:7.21 ; M:1.18.11
S:7.22 ; M:1.19.11
S:7.23 ; X:1.1.1.13
S:7.24 ; X:1.1.0.13
S:7.25 ; M:1.10.10
S:7.26 ; M:1.11.10
S:7.27 ; M:1.12.10
S:7.28 ; M:1.13.10
S:7.29 ; M:1.14.10
S:7.30 ; M:1.15.10
S:7.31 ; M:1.16.10
S:7.32 ; M:1.17.10
S:7.33 ; M:1.18.10
S:7.34 ; M:1.19.10
S:7.35 ; X:1.1.1.12
S:7.36 ; X:1.1.0.12
S:7.37 ; M:1.10.9
S:7.38 ; M:1.11.9
S:7.39 ; M:1.12.9
S:7.40 ; M:1.13.9
S:7.41 ; M:1.14.9
S:7.42 ; M:1.15.9
S:7.43 ; M:1.16.9
S:7.44 ; M:1.17.9
S:7.45 ; M:1.18.9
S:7.46 ; M:1.19.9
S:7.47 ; X:1.1.1.11
